"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
200,"22/11/2015","Phoenix Suns",24,116,13,2,"W 1","New Orleans Pelicans",19,11,11,122,14,2,"W 1"
201,"22/11/2015","Dallas Mavericks",7,114,14,2,"W 6","Oklahoma City Thunder",21,11,12,117,14,2,"L 1"
202,"23/11/2015","Sacramento Kings",26,122,15,2,"W 1","Charlotte Hornets",4,9,11,127,14,3,"W 2"
203,"23/11/2015","Orlando Magic",22,103,14,2,"L 1","Cleveland Cavaliers",6,12,12,117,14,2,"W 2"
204,"23/11/2015","New York Knicks",20,78,15,2,"W 4","Miami Heat",16,12,10,95,13,2,"W 2"
205,"23/11/2015","Detroit Pistons",9,88,14,2,"L 1","Milwaukee Bucks",17,12,12,109,14,2,"L 3"
206,"23/11/2015","Philadelphia 76ers",23,95,15,2,"L 14","Minnesota Timberwolves",18,9,12,100,14,3,"L 2"
207,"23/11/2015","Phoenix Suns",24,84,14,1,"L 1","San Antonio Spurs",27,12,12,98,14,2,"W 1"
208,"23/11/2015","Oklahoma City Thunder",21,111,15,1,"W 1","Utah Jazz",29,12,12,89,13,3,"L 1"
209,"24/11/2015","Boston Celtics",2,97,14,2,"L 1","Atlanta Hawks",1,12,12,121,16,3,"L 1"
210,"24/11/2015","Los Angeles Clippers",13,111,14,2,"L 3","Denver Nuggets",8,12,12,94,15,2,"L 3"
211,"24/11/2015","Los Angeles Lakers",14,77,14,2,"L 3","Golden State Warriors",10,12,12,111,16,2,"W 15"
212,"24/11/2015","Dallas Mavericks",7,96,15,2,"L 1","Memphis Grizzlies",15,12,12,110,15,3,"L 1"
213,"24/11/2015","Chicago Bulls",5,93,13,4,"L 1","Portland Trail Blazers",25,10,10,88,16,2,"W 2"
214,"24/11/2015","Indiana Pacers",12,123,14,3,"W 2","Washington Wizards",30,12,12,106,11,3,"W 3"
215,"25/11/2015","Philadelphia 76ers",23,80,16,2,"L 15","Boston Celtics",2,9,12,84,15,1,"L 2"
216,"25/11/2015","Washington Wizards",30,87,12,1,"L 1","Charlotte Hornets",4,10,10,101,15,2,"W 3"
